Super1,ProdName1,Super2,ProdName2,Super3,ProdName3,ProdPrice1,ProdPrice2,ProdPrice3,ProdPath1,ProdPath2,ProdPath3
1,Νερά ΚΟΡΠΗ Νερό Φυσικό Μεταλλικό 500ml 10Τεμ +2 Δώρο,2,"ΚΟΡΠΗ Ανθρακούχο Νερό Φυσικό Μεταλλικό 4x330ml 3+1 Δώρο Κρασιά, ποτά, αναψυκτικά, νερά",0,0,"2,50 €/τεμ.","€1,78",0,D:/th/14.JPG,D:/th/143.JPG,0
1,Σοκολάτες ΙΟΝ Σοκολάτα Αμυγδάλου 100gr,2,ΙΟΝ Σοκολάτα Γάλακτος 100gr Πρωϊνό - snacking & ροφήματα,0,0,"1,42 €/τεμ.","€1,42",0,D:/th/15.JPG,D:/th/106.JPG,0
1,Νερά ΖΑΓΟΡΙ Go Green Νερό Φυσικό Μεταλλικό 6x330ml,2,"ΖΑΓΟΡΙ ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΝΕΡΟ 750 ML Κρασιά, ποτά, αναψυκτικά, νερά",0,0,"1,05 €/τεμ.","€0,40",0,D:/th/16.JPG,D:/th/112.JPG,0
1,Χυμοί ΜΑΡΑΤΑ Χυμός Φρουτοποτό Βύσσινο 1lt,2,"HBH Φρουτοποτό Βύσσινο 1lt Κρασιά, ποτά, αναψυκτικά, νερά",0,0,"0,90 €/τεμ.",OOS,0,D:/th/17.JPG,D:/th/102.JPG,0
1,Απορρυπαντικά πιάτων PALMOLIVE Απορρυπαντικό Πιάτων Υγρό Κανονικό 500ml,2,"FAIRY ΥΓΡΟ ΑΠΟΡΡΥΠΑΝΤΙΚΟ ΠΙΑΤΩΝ ΚΑΝΟΝΙΚΟ 1,5 LT Καθαριστικά - Χαρτικά & είδη σπιτιού",0,0,"1,13 €/τεμ.","€5,68",0,D:/th/18.JPG,D:/th/118.JPG,0
1,Ποτά BACARDI Ρούμι 700ml,2,"BACARDI Ρούμι Λευκό Carta Blanca 700ml Κρασιά, ποτά, αναψυκτικά, νερά",0,0,"18,35 €/τεμ.","€18,35",0,D:/th/19.JPG,D:/th/110.JPG,0
1,Κατεψυγμένα Λαχανικά Φρούτα Βατόμουρα ARDO 300gr,2,ALTERRA Βατόμουρα Κόκκινα Κατεψυγμένα 300gr Κατεψυγμένα τρόφιμα,0,0,"3,12 €/τεμ.","€2,84",0,D:/th/20.JPG,D:/th/163.JPG,0
1,Φροντίδα Μαλλιών FRUCTIS Σαμπουάν Μαλλιών Δύναμη Λάμψη Κανονικά 400ml,0,0,3,ΥΓΕΙΑ ΟΜΟΡΦΙΑ FRUCTIS Fructis Σαμπουάν Δύναμη Λάμψη 400 ml,"2,48 €/τεμ.",0,4.88€/ΤΕΜ,D:/th/21.JPG,0,D:/th/182.JPG
1,Μπισκότα ΠΑΠΑΔΟΠΟΥΛΟΥ Μιράντα Μπισκότα 250gr,0,0,3,ΠΡΩΙΝΟ ΡΟΦΗΜΑΤΑ ΣΝΑΚΣ ΠΑΠΑΔΟΠΟΥΛΟΥ Παπαδοπούλου Μπισκότα Μιράντα 250 gr,"1,33 €/τεμ.",0,1.33€/ΤΕΜ,D:/th/22.JPG,0,D:/th/185.JPG
1,Γιαούρτια ΔΩΔΩΝΗ Κλασικό Γιαούρτι Στραγγιστό 8% 2x200gr + 1 Δώρο,0,0,3,ΓΑΛΑΚΤΟΚΟΜΙΚΑ ΕΙΔΗ ΨΥΓΕΙΟΥ ΔΩΔΩΝΗ Δωδώνη Γιαούρτι Στραγγιστό Κλασικό 8% 2 x 200 gr + 1 Δώρο,"2,72 €/τεμ.",0,"2.04€ /ΤΕΜ
2.72€/ΤΕΜ",D:/th/23.JPG,0,D:/th/227.JPG
